"";"X";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"7612";7612;"paisagem maravilhosa hein cncowners hahaha angel";FALSE;0;NA;"2017-05-22 17:36:29";FALSE;NA;866709361267179520;NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"CNCO_Brasil";0;FALSE;FALSE;NA;NA
"7613";7613;"tentativa golpe comunista no brasil temer precisa ficar para evitar o golpe lembrem que fachin e comunista";FALSE;0;NA;"2017-05-22 17:36:29";FALSE;NA;866709361216901120;NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"JAFreire_MD";0;FALSE;FALSE;NA;NA
"7614";7614;"omg macys vem pro brasil nunca te pedi nada lt3";FALSE;0;NA;"2017-05-22 17:36:28";FALSE;NA;866709359082057728;NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"biialou";0;FALSE;FALSE;NA;NA
"7615";7615;"rt ocarvalho sera que agora entenm tar mais que o inimigo do brasil nao e so o petismo mas o estamento burocratico inteiro";FALSE;0;NA;"2017-05-22 17:36:28";FALSE;NA;866709357009960960;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"GorpodeHeman73";257;TRUE;FALSE;NA;NA
"7616";7616;"promocao do livro zico o rei do maraca frete gratis pra todo o brasil pra quem comprar ate sextafeira corre la";FALSE;5;NA;"2017-05-22 17:36:28";FALSE;NA;866709356921991168;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"pausse";13;FALSE;FALSE;NA;NA
"7617";7617;"rt ezequiasns lula dilma amante e pilantrel se esbaldaram com dinheiro roubado do povo lulanacaia  via sit�";FALSE;0;NA;"2017-05-22 17:36:27";FALSE;NA;866709356246695936;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"HildegardaMuche";4;TRUE;FALSE;NA;NA
"7618";7618;"rt givemejeon quero ver qnd min yoongi souber q o brasil foi oq mais voto maior stan do brasil po entra min yoongi";FALSE;0;NA;"2017-05-22 17:36:27";FALSE;NA;866709355739176960;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"purejikook";135;TRUE;FALSE;NA;NA
"7619";7619;"rt jornaloglobo relator quer aproveitar crise para aprovar reforma politica";FALSE;0;NA;"2017-05-22 17:36:27";FALSE;NA;866709355705532416;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"lucrjviola";15;TRUE;FALSE;NA;NA
"7620";7620;"dar scontos a quem nao tem aguabrasil sempre comeca baixo pra cima";FALSE;0;NA;"2017-05-22 17:36:27";FALSE;NA;866709355634274304;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"thiago_afc";0;FALSE;FALSE;NA;NA
"7621";7621;"quem voces acham que seria o melhor presinte do brasil";FALSE;0;NA;"2017-05-22 17:36:25";FALSE;NA;866709347040202752;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"gabrielcosta101";0;FALSE;FALSE;NA;NA
"7622";7622;"gato acredita que o brasil so tera jeito com intervencao alienigena via g17oficial";FALSE;0;NA;"2017-05-22 17:36:24";FALSE;NA;866709344188059648;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"leonardo1001";2;FALSE;FALSE;NA;NA
"7623";7623;"rt patocorporation estou tentando escolher qual ssas imagens simboliza a falencia completa do brasil como socieda mas ta dificil pois�";FALSE;0;NA;"2017-05-22 17:36:24";FALSE;NA;866709343156264960;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"claudioslazaro";43;TRUE;FALSE;NA;NA
